,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,success_rate
0,MetaDrive-Tut-Easy-v0,590,2.584387828159138,1004,5,1.6995289325714111,,0.00796460174024105,0.01421243604272604,0.0
1,MetaDrive-Tut-Easy-v0,140,-0.684652047714255,2006,39,14.234810829162598,,1.5639266967773438,-0.05809936672449112,0.0
2,MetaDrive-Tut-Easy-v0,93,-1.1391718392410624,3003,55,32.186551094055176,-0.015542181208729744,0.0761265680193901,0.08458749949932098,0.0
3,MetaDrive-Tut-Easy-v0,72,-1.610611200903582,4131,79,57.35955500602722,0.1068873405456543,0.6217595338821411,-0.13351398706436157,0.0
4,MetaDrive-Tut-Easy-v0,67,-1.3803452072238218,5136,84,75.93674182891846,,0.022779591381549835,0.19122083485126495,0.0
5,MetaDrive-Tut-Easy-v0,66,-1.1593133390297237,6141,89,92.56315803527832,-0.11291566491127014,0.1475352942943573,-0.015940748155117035,0.0
6,MetaDrive-Tut-Easy-v0,63,-0.9587175881490985,7146,94,112.53305912017822,,0.039049286395311356,0.14745953679084778,0.0
7,MetaDrive-Tut-Easy-v0,62,-0.6758469251111593,8196,100,130.79599404335022,,0.027917984873056412,0.03756328672170639,0.0
8,MetaDrive-Tut-Easy-v0,64,-0.5691267111770822,9201,105,143.73708271980286,-0.2896403670310974,0.9435521960258484,0.1512494832277298,0.0
9,MetaDrive-Tut-Easy-v0,64,-0.5230014056843814,10005,109,154.34990787506104,-0.11594665050506592,0.01096661202609539,0.05343347415328026,0.0
10,MetaDrive-Tut-Easy-v0,65,-0.24026194642214707,11010,114,167.17076778411865,,0.050016071647405624,0.23320288956165314,0.0
11,MetaDrive-Tut-Easy-v0,68,0.10413845155547775,12193,122,178.92489194869995,-0.3904452621936798,0.027714520692825317,0.32643839716911316,0.0
12,MetaDrive-Tut-Easy-v0,69,0.6127054599065217,13055,128,186.61469101905823,-0.16795791685581207,0.02854180335998535,0.14217141270637512,0.0
13,MetaDrive-Tut-Easy-v0,72,1.048667756679181,14060,133,195.0967309474945,,0.02320832386612892,0.3448539078235626,0.0
14,MetaDrive-Tut-Easy-v0,73,1.317694736419162,15011,139,203.13213109970093,-0.5283098816871643,0.015321060083806515,0.4354170560836792,0.0
15,MetaDrive-Tut-Easy-v0,75,1.7432685076340022,16040,146,211.53790092468262,,0.0144987553358078,0.48295360803604126,0.0
16,MetaDrive-Tut-Easy-v0,77,2.292680415744324,17088,154,220.14046692848206,,0.014896992594003677,0.4483908414840698,0.0
17,MetaDrive-Tut-Easy-v0,79,3.8685311024892854,18020,167,227.88753509521484,,0.023939844220876694,0.649059534072876,0.0
18,MetaDrive-Tut-Easy-v0,80,5.006390899884796,19075,185,236.8745048046112,-0.702131450176239,0.028240669518709183,0.6982161998748779,0.0
19,MetaDrive-Tut-Easy-v0,81,5.583106090272471,20007,197,244.79795289039612,-0.9187971353530884,0.8343009948730469,0.7481041550636292,0.0
20,MetaDrive-Tut-Easy-v0,82,5.608461351357542,21007,209,253.65928196907043,-0.943145215511322,0.029784198850393295,1.0011651515960693,0.0
21,MetaDrive-Tut-Easy-v0,83,5.64316906813164,22030,219,262.70140290260315,,0.03346923366189003,1.0554324388504028,0.0
22,MetaDrive-Tut-Easy-v0,84,5.848463615224574,23082,227,271.8350489139557,,0.009254470467567444,0.9522587060928345,0.0
23,MetaDrive-Tut-Easy-v0,85,6.0931315056185955,24051,237,280.42633295059204,-0.70328688621521,0.059657223522663116,0.7540912628173828,0.0
24,MetaDrive-Tut-Easy-v0,86,6.31474686488824,25198,248,290.2473909854889,,0.041345756500959396,1.3222641944885254,0.0
25,MetaDrive-Tut-Easy-v0,87,6.397614253117062,26029,256,297.39373111724854,-1.21695876121521,0.433594286441803,1.121706247329712,0.0
26,MetaDrive-Tut-Easy-v0,88,5.831478139096353,27002,263,305.6481499671936,,0.1113622859120369,0.9812345504760742,0.0
27,MetaDrive-Tut-Easy-v0,89,6.09871672538819,28019,271,314.05603885650635,-1.0131182670593262,2.2414846420288086,0.880583643913269,0.0
28,MetaDrive-Tut-Easy-v0,90,6.2450480699577895,29024,276,322.2885799407959,,0.4723087549209595,1.359034538269043,0.0
29,MetaDrive-Tut-Easy-v0,90,6.78348060793914,30067,284,330.86926102638245,-1.4258251190185547,0.033996839076280594,1.4346487522125244,0.0
30,MetaDrive-Tut-Easy-v0,91,11.869714744430318,31092,295,339.584095954895,,0.401574045419693,1.840681791305542,0.0
31,MetaDrive-Tut-Easy-v0,92,18.95923107912429,32002,303,347.47801899909973,,0.21074149012565613,2.5873358249664307,0.05
32,MetaDrive-Tut-Easy-v0,92,25.233510716531754,33005,314,356.70431303977966,-2.613708734512329,0.5518457293510437,2.3863720893859863,0.06
33,MetaDrive-Tut-Easy-v0,92,32.37896516455563,34104,325,366.9564700126648,,0.18130932748317719,3.494091749191284,0.06
34,MetaDrive-Tut-Easy-v0,93,36.96443414624594,35042,338,375.7623529434204,,0.33872565627098083,3.646153450012207,0.06
35,MetaDrive-Tut-Easy-v0,93,42.604565387191194,36042,351,385.0564019680023,,0.15849748253822327,4.609800815582275,0.07
36,MetaDrive-Tut-Easy-v0,93,48.65422022768963,37079,363,394.5936119556427,-4.615789413452148,0.198321133852005,4.521702766418457,0.08
37,MetaDrive-Tut-Easy-v0,94,53.01981404977143,38009,375,403.0241138935089,-5.746253967285156,0.5406321287155151,5.538277626037598,0.08
38,MetaDrive-Tut-Easy-v0,94,55.30595860654227,39050,389,412.4653470516205,,0.6074336171150208,6.736467361450195,0.08
39,MetaDrive-Tut-Easy-v0,95,51.88347296884152,40031,401,421.0957098007202,-7.308189868927002,9.558258056640625,7.040146827697754,0.05
40,MetaDrive-Tut-Easy-v0,95,46.76809362432904,41048,415,430.1246728897095,,1.9768319129943848,7.261429786682129,0.02
41,MetaDrive-Tut-Easy-v0,95,43.93114077489875,42102,428,439.4459807872772,,0.9453158974647522,7.514085292816162,0.03
42,MetaDrive-Tut-Easy-v0,96,45.04513345092842,43028,438,447.9136929512024,,0.4029315710067749,8.813389778137207,0.03
43,MetaDrive-Tut-Easy-v0,96,46.70364714767119,44072,449,457.5566740036011,,1.4872549772262573,8.532132148742676,0.03
44,MetaDrive-Tut-Easy-v0,96,46.979140127231375,45003,458,466.5260570049286,-9.976354598999023,2.7417593002319336,9.999253273010254,0.03
45,MetaDrive-Tut-Easy-v0,96,50.3862053644893,46016,467,476.1372721195221,,0.6898868680000305,9.371282577514648,0.07
46,MetaDrive-Tut-Easy-v0,96,55.19887319886463,47098,476,486.4176299571991,,1.1247148513793945,11.5828857421875,0.1
47,MetaDrive-Tut-Easy-v0,97,60.827385614563966,48064,484,495.21420788764954,,1.0800886154174805,10.54808235168457,0.15
48,MetaDrive-Tut-Easy-v0,97,65.76272369275495,49016,492,503.9438090324402,,7.942200660705566,10.714290618896484,0.2
49,MetaDrive-Tut-Easy-v0,97,70.89374938449869,50084,501,513.3864870071411,,1.1119565963745117,13.972006797790527,0.25
50,MetaDrive-Tut-Easy-v0,97,74.50174557490513,51050,510,521.9122059345245,,1.1782069206237793,12.027190208435059,0.25
51,MetaDrive-Tut-Easy-v0,98,78.9718750838369,52037,519,530.6696598529816,-12.939901351928711,1.0081855058670044,12.571549415588379,0.24
52,MetaDrive-Tut-Easy-v0,98,83.61307969021807,53005,528,539.4445638656616,-15.795145034790039,3.403472423553467,15.798376083374023,0.24
53,MetaDrive-Tut-Easy-v0,98,86.9806517574862,54006,537,548.5654110908508,,1.961423397064209,16.10731315612793,0.24
54,MetaDrive-Tut-Easy-v0,98,89.39603981458525,55082,547,558.730703830719,,5.270371913909912,16.030317306518555,0.24
55,MetaDrive-Tut-Easy-v0,98,91.48533985286912,56071,556,568.1579058170319,-16.634765625,2.0573525428771973,15.951631546020508,0.23
56,MetaDrive-Tut-Easy-v0,98,90.93972657943888,57058,565,577.540344953537,,1.813063621520996,14.6998872756958,0.2
57,MetaDrive-Tut-Easy-v0,98,90.63485007821232,58070,574,586.9342048168182,,3.75106143951416,18.086700439453125,0.17
58,MetaDrive-Tut-Easy-v0,99,89.44119033195783,59095,583,596.377711057663,-17.820335388183594,25.133655548095703,17.548585891723633,0.13
59,MetaDrive-Tut-Easy-v0,99,90.12192296378858,60060,591,606.1928730010986,,1.9512200355529785,19.41364288330078,0.15
60,MetaDrive-Tut-Easy-v0,98,90.42707212806,61089,600,617.5721988677979,-17.111469268798828,42.79979705810547,15.843857765197754,0.17
61,MetaDrive-Tut-Easy-v0,98,92.27285489225162,62041,608,627.8430111408234,-18.466800689697266,7.932248115539551,18.49665641784668,0.23
62,MetaDrive-Tut-Easy-v0,98,94.81932169431626,63117,617,639.8110840320587,-18.37708854675293,2.109076976776123,18.136470794677734,0.32
63,MetaDrive-Tut-Easy-v0,98,97.0811266913633,64068,625,650.2935380935669,,13.17850112915039,21.22276496887207,0.4
64,MetaDrive-Tut-Easy-v0,98,98.7103794042028,65010,633,660.6392979621887,,4.26934289932251,21.105878829956055,0.43
65,MetaDrive-Tut-Easy-v0,98,100.81070944194363,66080,642,672.6277749538422,,6.773308753967285,20.678359985351562,0.5
66,MetaDrive-Tut-Easy-v0,97,101.43000367025154,67117,651,687.177628993988,-22.618518829345703,2.3653459548950195,22.62957000732422,0.5
67,MetaDrive-Tut-Easy-v0,97,102.12833947366646,68055,659,699.7027378082275,-24.126615524291992,2.7126667499542236,23.565540313720703,0.51
68,MetaDrive-Tut-Easy-v0,97,103.03253023405625,69118,668,710.9453480243683,,18.192188262939453,20.8604736328125,0.53
69,MetaDrive-Tut-Easy-v0,97,103.00833543399396,70021,676,720.1922240257263,-20.451539993286133,4.049246788024902,19.722747802734375,0.52
70,MetaDrive-Tut-Easy-v0,97,102.82055311957683,71069,685,731.2102048397064,-21.797632217407227,2.1723337173461914,21.462453842163086,0.5
71,MetaDrive-Tut-Easy-v0,97,101.06134596798228,72063,694,741.41548204422,-28.327404022216797,4.0791335105896,27.85578155517578,0.44
72,MetaDrive-Tut-Easy-v0,97,99.27397162601123,73091,703,752.299232006073,-24.541515350341797,1.6484806537628174,24.061676025390625,0.36
73,MetaDrive-Tut-Easy-v0,97,96.7192238170025,74055,712,761.7750971317291,-25.885332107543945,5.535496711730957,25.41773796081543,0.28
74,MetaDrive-Tut-Easy-v0,97,95.53640203332594,75006,720,771.6038320064545,,3.465757369995117,25.826335906982422,0.23
75,MetaDrive-Tut-Easy-v0,97,94.55937778597891,76079,729,782.2731640338898,-30.17513084411621,12.339778900146484,29.078632354736328,0.19
76,MetaDrive-Tut-Easy-v0,97,94.54609765032035,77062,737,791.7926478385925,,13.206567764282227,26.162485122680664,0.19
77,MetaDrive-Tut-Easy-v0,97,95.00641887694177,78082,745,802.1654319763184,,51.19955062866211,27.139080047607422,0.21
78,MetaDrive-Tut-Easy-v0,97,96.66836054862101,79116,753,812.8220510482788,,8.428828239440918,26.491914749145508,0.29
79,MetaDrive-Tut-Easy-v0,97,97.68295640809521,80047,760,822.4159638881683,-26.16061019897461,15.43864631652832,25.712993621826172,0.34
80,MetaDrive-Tut-Easy-v0,97,98.87097675457518,81016,767,831.9134659767151,,10.794713973999023,26.890562057495117,0.39
81,MetaDrive-Tut-Easy-v0,97,100.76878297881323,82102,775,842.5648679733276,,13.516510009765625,30.505861282348633,0.47
82,MetaDrive-Tut-Easy-v0,97,102.27841533518111,83079,782,851.894394159317,-31.915573120117188,5.733974456787109,31.116321563720703,0.54
83,MetaDrive-Tut-Easy-v0,97,103.81867265205393,84052,789,861.602844953537,,12.781012535095215,26.591354370117188,0.6
84,MetaDrive-Tut-Easy-v0,97,105.74375115793177,85036,796,871.2634968757629,,21.80539321899414,30.207273483276367,0.67
85,MetaDrive-Tut-Easy-v0,97,107.46290831643454,86015,803,880.830246925354,-31.521772384643555,10.430632591247559,30.038619995117188,0.74
86,MetaDrive-Tut-Easy-v0,97,109.95210170092642,87138,811,891.459835767746,,6.967944145202637,34.39003372192383,0.82
87,MetaDrive-Tut-Easy-v0,97,111.18906265187951,88121,818,900.9249160289764,-34.42304992675781,12.12779712677002,33.76953125,0.87
88,MetaDrive-Tut-Easy-v0,97,112.32927918036098,89099,825,910.2499670982361,-39.03034210205078,5.013185501098633,38.67953872680664,0.92
89,MetaDrive-Tut-Easy-v0,97,113.13621759330377,90088,832,919.6465437412262,,2.786526918411255,32.30901336669922,0.96
90,MetaDrive-Tut-Easy-v0,98,113.8806062295802,91060,839,928.7110500335693,,99.23579406738281,37.186256408691406,1.0
91,MetaDrive-Tut-Easy-v0,98,113.8918928358674,92048,846,937.8314428329468,,3.5861663818359375,36.54595184326172,1.0
92,MetaDrive-Tut-Easy-v0,98,113.90434571074498,93036,853,946.9564878940582,,1.9052411317825317,35.104515075683594,1.0
93,MetaDrive-Tut-Easy-v0,98,113.89245831883814,94030,860,956.2258229255676,,2.9326558113098145,40.121376037597656,1.0
94,MetaDrive-Tut-Easy-v0,98,113.91201649920576,95012,867,965.4865598678589,,4.165458679199219,39.77253723144531,1.0
95,MetaDrive-Tut-Easy-v0,98,113.91020879429698,96142,875,976.0648789405823,,4.393224716186523,42.1219596862793,1.0
96,MetaDrive-Tut-Easy-v0,98,113.9275841321506,97131,882,985.1341917514801,-39.71196365356445,26.727602005004883,38.693546295166016,1.0
97,MetaDrive-Tut-Easy-v0,98,113.92636301092627,98115,889,994.1145610809326,-41.211544036865234,5.134845733642578,40.736019134521484,1.0
98,MetaDrive-Tut-Easy-v0,98,113.93683505047431,99081,896,1003.3306801319122,-37.167442321777344,41.30137634277344,36.7460823059082,1.0
